space_key,svg_present,svg_id,svg_tag,svg_data_name,building_label,floor_code,display_label,published_status,bookwhen_url,space_type,capacity,color_code,ada_note,legacy_notes,review_status
207,yes,_207,rect,207,Jupiter Original,L2,Room 207,Unpublished,,SDL,,sleeproom,Not ADA,Opener Queen,matched
208,yes,_208,rect,208,Jupiter Original,L2,Room 208,Unpublished,,LDL,,sleeproom,Not ADA,Entourage Double,matched
210,yes,_210,rect,210,,L2,Room 210,Published,https://bookwhen.com/voidtattoofest/e/ev-sn5yn-20260521000000,LDL,,sleeproom,Not ADA,Encore King,matched
212,yes,_212,rect,212,,L2,Room 212,Unpublished,,LDL,,sleeproom,Not ADA,Entourage Double,matched
213,yes,_213,rect,213,,L2,Room 213,Unpublished,,SDL,,sleeproom,Not ADA,Opener Queen,matched
214,yes,_214,rect,214,Jupiter Original,L2,Room 214,Unpublished,,LDL,,sleeproom,Not ADA,Entourage Double,matched
215,yes,_215,rect,215,Jupiter Original,L2,Room 215,Unpublished,,SDL,,sleeproom,Not ADA,Opener Queen,matched
216,yes,_216,rect,216,Jupiter Original,L2,Room 216,Unpublished,,LDL,,sleeproom,Not ADA,Entourage Double,matched
217,yes,_217,rect,217,Jupiter Original,L2,Room 217,Unpublished,,XSDL,,sleeproom,Not ADA,Opener Queen,matched
218,yes,_218,rect,218,Jupiter Original,L2,Room 218,Unpublished,,SDL,,sleeproom,Not ADA,Opener Queen,matched
219,yes,_219,rect,219,Jupiter Original,L2,Room 219,Published,https://bookwhen.com/voidtattoofest/e/ev-sj1xa-20260521000000,MDL,,sleeproom,Not ADA,Headliner King,matched
220,yes,_220,rect,220,Jupiter Original,L2,Room 220,Unpublished,,LDL,,sleeproom,Not ADA,Encore King,matched
221,yes,_221,rect,221,Jupiter Original,L2,Room 221,Unpublished,,MDL,,sleeproom,Not ADA,Headliner King,matched
222,yes,_222,rect,222,,L2,Room 222,Unpublished,,MDL,,sleeproom,Not ADA,Encore King,matched
223,yes,_223,rect,223,,L2,Room 223,Unpublished,,MDL,,sleeproom,Not ADA,Encore King,matched
224,yes,_224,rect,224,,L2,Room 224,Unpublished,,MDL,,sleeproom,Not ADA,Headliner King,matched
226,yes,_226,rect,226,Jupiter Original,L2,Room 226,Published,https://bookwhen.com/voidtattoofest/e/ev-sgn0x-20260522000000,MDL,3,Pink,Not ADA,,matched
227,yes,_227,rect,227,Jupiter Original,L2,Room 227,Published,https://bookwhen.com/voidtattoofest/e/ev-scfom-20260522000000,MDL,3,Pink,Not ADA,,matched
228,yes,_228,rect,228,Jupiter Original,L2,Room 228,Published,https://bookwhen.com/voidtattoofest/e/ev-slryf-20260522000000,MDL,3,Pink,Not ADA,,matched
229,yes,_229,rect,229,Jupiter Original,L2,Room 229,Published,https://bookwhen.com/voidtattoofest/e/ev-sllez-20260522000000,MDL,3,Pink,Not ADA,,matched
